order,gender,home,university,major,before.university,post.university,qq.time,wechat.time,qq.strangers,qq.friends,qq.useful,qq.facilities,qq.knowledge,qq.easy,qq.privacy,qq.enjoyful,qq.habit,qq.social,qq.social.2,qq.important,qq.good,wechat.strangers,wechat.friends,wechat.useful,wechat.facilities,wechat.knowledge,wechat.easy,wechat.privacy,wechat.enjoyful,wechat.habit,wechat.social,wechat.social.2,wechat.important,wechat.good,第9题(功能各有所长),第9题(都用使用需求和使用场景),第9题(社交圈在QQ和微信大致相似),第9题(无所谓，随便用),第9题(其他)
37,1,1,1,3,1,1,3,1,6,5,5,5,5,5,6,5,5,5,5,5,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
38,1,1,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,5,6,6,6,5,6,5,6,5,5,5,4,-3,-3,-3,-3,-3
39,2,1,1,3,1,1,4,2,5,6,7,7,7,7,3,7,7,5,6,4,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
40,1,1,1,4,1,1,4,2,6,5,7,7,7,7,4,5,6,4,5,5,5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
41,1,3,1,1,1,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,7,6,6,6,7,4,4,7,7,4,7,5,-3,-3,-3,-3,-3
42,1,1,1,1,1,3,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,0
43,1,1,1,4,1,3,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0
44,2,2,2,4,1,3,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,1,0,0
45,2,2,2,4,1,1,4,1,6,6,6,7,6,7,6,6,7,6,7,7,7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
46,1,1,1,1,1,2,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7,7,7,7,7,7,7,7,7,7,7,7,7,-3,-3,-3,-3,-3
